forcing creation of server ID: 44
[06-25-2017 13:11:51.701700][ startup] CONSTRUCTED SERVER
[06-25-2017 13:11:51.702291][ startup] SENDER START
[06-25-2017 13:11:51.702339][ startup] HANDLE RECEIVE START
[06-25-2017 13:11:51.702323][ startup] RECEIVER START
[06-25-2017 13:11:51.702371][ startup] MAIN LOOP START
[06-25-2017 13:11:58.215463][    info] CLIENT CONNECTED: 60
[06-25-2017 13:11:58.216672][    info] LOCAL: 60 {kill, 1}
[06-25-2017 13:11:58.216721][   trace] CREATING LOCAL BUFFER: kill
[06-25-2017 13:12:15.008069][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:12:15.031663][   trace] SENDING ACK kill TO 10.0.0.44 8930
[06-25-2017 13:12:15.031994][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:12:15.055662][   trace] SENDING ACK kill TO 10.0.0.44 8930
[06-25-2017 13:12:45.174698][    info] CLIENT DISCONNECTED: 60
[06-25-2017 13:12:45.174774][   trace] REMOVING LOCAL BUFFER kill
[06-25-2017 13:19:30.034175][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:30.034271][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:30.059920][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:30.059987][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:30.080925][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:30.081013][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:30.103514][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:30.103596][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:30.128434][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:30.128530][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:30.153458][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:30.153564][   error] COULDN'T FIND BUFFER kill
[06-25-2017 13:19:30.178390][    info] RECEIVED REQUEST FOR kill FROM 10.0.0.44 8930
[06-25-2017 13:19:30.178478][   error] COULDN'T FIND BUFFER kill
