forcing creation of server ID: 47
[06-25-2017 13:11:51.700655][ startup] CONSTRUCTED SERVER
[06-25-2017 13:11:51.701482][ startup] MAIN LOOP START
[06-25-2017 13:11:51.701566][ startup] SENDER START
[06-25-2017 13:11:51.701710][ startup] HANDLE RECEIVE START
[06-25-2017 13:11:51.701810][ startup] RECEIVER START
[06-25-2017 13:11:58.215289][    info] CLIENT CONNECTED: 60
[06-25-2017 13:11:58.217212][    info] LOCAL: 60 {targetlocation, 96}
[06-25-2017 13:11:58.217262][   trace] CREATING LOCAL BUFFER: targetlocation
[06-25-2017 13:12:15.008182][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:12:15.031703][   trace] SENDING ACK targetlocation TO 10.0.0.47 8930
[06-25-2017 13:12:15.032166][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:12:15.055689][   trace] SENDING ACK targetlocation TO 10.0.0.47 8930
[06-25-2017 13:12:45.174696][    info] CLIENT DISCONNECTED: 60
[06-25-2017 13:12:45.174770][   trace] REMOVING LOCAL BUFFER targetlocation
[06-25-2017 13:15:41.797658][    info] CLIENT CONNECTED: 61
[06-25-2017 13:18:04.014701][    info] CLIENT DISCONNECTED: 61
[06-25-2017 13:19:30.034292][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.034392][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.060020][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.060083][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.081009][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.081086][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.103628][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.103706][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.128578][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.128673][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.153580][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.153655][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.178489][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.178567][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.203594][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.203697][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.228530][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.228624][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.253509][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.253592][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.278517][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.278595][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.303518][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.303613][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.328538][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.328635][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.353506][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.353598][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.378499][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.378592][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.403442][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.403517][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.428502][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.428599][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.453499][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.453610][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.478479][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.478568][   error] COULDN'T FIND BUFFER targetlocation
[06-25-2017 13:19:30.502995][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.47 8930
[06-25-2017 13:19:30.503088][   error] COULDN'T FIND BUFFER targetlocation
