forcing creation of server ID: 46
[07-02-2017 19:33:08.563168][ startup] CONSTRUCTED SERVER
[07-02-2017 19:33:08.569548][ startup] MAIN LOOP START
[07-02-2017 19:33:08.569655][ startup] SENDER START
[07-02-2017 19:33:08.569768][ startup] RECEIVER START
[07-02-2017 19:33:08.569832][ startup] HANDLE RECEIVE START
[07-02-2017 19:33:15.176212][    info] CLIENT CONNECTED: 74
[07-02-2017 19:33:15.177116][    info] LOCAL: 74 {targetLocAndRot, 96}
[07-02-2017 19:33:15.177194][   trace] CREATING LOCAL BUFFER: targetLocAndRot
[07-02-2017 19:33:31.143426][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:31.143528][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:31.163963][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:31.164033][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:31.185874][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:31.186083][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:31.207379][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:31.207452][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:31.227822][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:31.228171][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:31.249640][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:31.249710][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:31.274876][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:31.275011][   error] COULDN'T FIND BUFFER targetlocation
[07-02-2017 19:33:31.300050][    info] RECEIVED REQUEST FOR targetlocation FROM 10.0.0.46 8930
[07-02-2017 19:33:31.300154][   error] COULDN'T FIND BUFFER targetlocation
